eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
81.13,-2.43,84.62,-2.58,1002,0.0003601267,0.0,2.707722,-0.000512308,0.29072154,0.020732462406158447,1,256,16.340753313999812,16384
81.47,-2.45,81.82,-1.92,1478,0.00012796906,0.0,2.7072792,-0.00013353684,0.14758147,0.04625016450881958,2,512,27.423005257000113,32768
84.88,-2.74,85.95,-2.58,1472,0.00010337438,0.0,2.7068818,-2.4656207e-05,0.16950943,0.0439072847366333,3,768,38.55007551699964,49152
81.12,-2.22,84.15,-2.47,1455,0.00018458832,0.0,2.7059853,-0.00047567682,0.15356971,0.06173485517501831,4,1024,49.80750060199898,65536
79.8,-2.36,80.33,-2.23,1443,0.0010029982,0.002400716,2.7036297,-0.00062700664,0.14178441,0.041636526584625244,5,1280,61.158209420000276,81920
84.28,-1.97,82.18,-3.25,1435,0.0034010203,0.012288411,2.6905785,-0.0016066226,0.12341502,0.0603904128074646,6,1536,72.57076091999988,98304
87.81,-1.8,89.22,-3.17,1434,0.0012226674,0.005391439,2.6869984,-0.0013470155,0.110189505,0.14545953273773193,7,1792,83.98929233799936,114688
80.36,-2.31,86.88,-2.84,1417,0.0010883793,0.0025838215,2.6807082,-0.0018314169,0.14136207,0.2499392032623291,8,2048,95.54558480999913,131072
86.15,-2.43,87.75,-2.26,1398,0.0029934274,0.018025717,2.6851285,-0.003242769,0.11857933,0.289872407913208,9,2304,107.26533135699901,147456
77.42,-2.42,84.95,-1.83,1398,0.0024446945,0.016113281,2.679737,-0.003811837,0.12360689,0.3421173095703125,10,2560,118.9812586829994,163840
91.61,-2.05,82.54,-1.89,1391,0.004225561,0.036824543,2.6614895,-0.0052201,0.09881333,0.459414005279541,11,2816,130.7552190360002,180224
81.02,-1.88,83.97,-1.23,1402,0.003856106,0.03120931,2.6433213,-0.004593772,0.10839206,0.5107434689998627,12,3072,142.43704897899988,196608
78.45,-1.6,81.84,-1.96,1400,0.0034273725,0.029215494,2.6543562,-0.0060356664,0.09539768,0.48815208673477173,13,3328,154.13880754699858,212992
78.56,-1.41,81.11,-1.75,1437,0.0037451005,0.035827637,2.6465428,-0.0076899515,0.084897555,0.5405159592628479,14,3584,165.5361949090002,229376
80.93,-1.28,79.49,-1.67,1423,0.0052529555,0.059183758,2.6366017,-0.009305091,0.07232281,0.5930033922195435,15,3840,177.04798054799903,245760
78.42,-0.52,82.36,-1.13,1400,0.005118339,0.057861328,2.6380157,-0.010795432,0.0727186,0.5758768022060394,16,4096,188.74828083299872,262144
84.88,-1.18,81.68,-1.3,1447,0.005413636,0.06325277,2.6348004,-0.0093563385,0.08911037,0.5660429894924164,17,4352,200.06999611500032,278528
79.94,-1.08,83.23,-1.06,1406,0.0057661254,0.06591797,2.6173584,-0.010523257,0.08052727,0.5971904397010803,18,4608,211.7167376999987,294912
78.42,-0.91,81.4,-0.97,1412,0.005506523,0.0631307,2.618531,-0.010633924,0.07302088,0.5603369176387787,19,4864,223.320105589999,311296
80.46,-0.62,87.14,-0.67,1405,0.0069025536,0.087137856,2.6020548,-0.012267854,0.068709694,0.5718216896057129,20,5120,234.97575747799965,327680
76.11,-1.12,83.12,-0.51,1410,0.0063554985,0.07635498,2.5826771,-0.014248107,0.065907575,0.5597673952579498,21,5376,246.58908791999966,344064
75.02,-1.04,83.48,-0.68,1442,0.0077251676,0.09802246,2.587612,-0.01230983,0.064792424,0.5760392844676971,22,5632,257.9441464289994,360448
76.63,-0.47,80.25,-0.57,1411,0.0066723973,0.08231608,2.6015418,-0.013862364,0.049859792,0.5686662197113037,23,5888,269.5491474949995,376832
79.14,-0.29,83.08,-0.65,1400,0.007049506,0.09008789,2.5667593,-0.015894642,0.057645623,0.5854973793029785,24,6144,281.2444378580003,393216
75.72,0.23,84.22,-0.84,1402,0.007942098,0.104390465,2.5714016,-0.015392654,0.057236988,0.5718419253826141,25,6400,292.92591628300033,409600
74.13,0.14,82.36,-0.29,1404,0.0082997745,0.1077474,2.560448,-0.016128069,0.046831187,0.5643162429332733,26,6656,304.59420593199866,425984
76.68,-0.35,78.35,0.1,1396,0.008604112,0.11319987,2.5645335,-0.01607044,0.05230115,0.5984019339084625,27,6912,316.3267983939986,442368
75.84,0.02,76.21,-0.14,1402,0.00872368,0.120524086,2.541007,-0.016074652,0.051093027,0.6416309177875519,28,7168,328.01270546900014,458752
76.41,0.05,79.06,-0.1,1408,0.007812176,0.100850426,2.5450528,-0.018205954,0.062455248,0.5678090453147888,29,7424,339.64498190499944,475136
77.7,-0.11,77.64,0.18,1402,0.009292576,0.12135824,2.5445192,-0.0183005,0.05966641,0.6819688081741333,30,7680,351.32891378299973,491520
77.81,0.81,78.16,-0.31,1409,0.009163838,0.1211141,2.5404344,-0.018935503,0.05595408,0.6326739192008972,31,7936,362.95283682899935,507904
78.81,0.67,80.18,0.21,1390,0.008919501,0.11694336,2.5471144,-0.01970171,0.053444684,0.6352550387382507,32,8192,374.736073389,524288
84.14,0.39,80.45,-0.14,1391,0.00934247,0.12717693,2.540541,-0.018487627,0.054120466,0.6574395298957825,33,8448,386.5150812369993,540672
77.06,0.78,85.47,-0.17,1395,0.01004846,0.13541667,2.5383985,-0.020287076,0.043163124,0.6635910868644714,34,8704,398.2545643550002,557056
85.74,0.99,83.27,0.87,1403,0.009509846,0.1270752,2.516959,-0.019027589,0.06122351,0.6136583089828491,35,8960,409.9297686809987,573440
75.68,0.7,82.82,1.01,1399,0.010900318,0.13966878,2.5004985,-0.02098382,0.05297886,0.6342641413211823,36,9216,421.63560072200016,589824
84.7,1.19,83.32,0.78,1403,0.011983283,0.1609904,2.49376,-0.020268513,0.049135163,0.6621886491775513,37,9472,433.312799886,606208
88.06,1.06,79.63,1.23,1414,0.012063373,0.1542155,2.489905,-0.02325021,0.047530424,0.6786930859088898,38,9728,444.90026133799984,622592
76.13,1.34,87.27,1.04,1409,0.01146179,0.15248616,2.4866207,-0.021005465,0.041561652,0.700294017791748,39,9984,456.5254841149999,638976
85.18,1.67,90.02,1.51,1396,0.011035821,0.14381917,2.462901,-0.022523679,0.042779054,0.7004282176494598,40,10240,468.26063931599856,655360
83.1,1.57,83.49,0.86,1391,0.012275671,0.1663208,2.4493713,-0.02271171,0.039187837,0.748153030872345,41,10496,480.0388712999993,671744
87.68,1.73,84.9,1.92,1400,0.012952913,0.1686198,2.4476316,-0.013785939,0.049630713,0.6770114302635193,42,10752,491.73771425700033,688128
93.35,1.74,91.13,1.36,1409,0.013206155,0.16951497,2.4317768,-0.01657919,0.050367355,0.7002768218517303,43,11008,503.3622468470003,704512
