eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
84.56,-3.01,85.05,-2.3,758,0.005326777,0.023234049,2.702974,-0.0018767193,3.1610699,-0.191001296043396,1,256,21.613526912999987,16384
79.55,-2.21,83.97,-2.33,1270,0.004248372,0.0308431,2.700058,-0.0020964642,0.9232077,0.29216140508651733,2,512,34.50896635600009,32768
81.79,-2.14,82.12,-1.93,1251,0.005032703,0.04119873,2.6965427,-0.0028072295,0.7552139,0.3809332251548767,3,768,47.60601486200005,49152
78.9,-1.94,81.57,-2.32,1237,0.0043656747,0.030761719,2.692857,-0.0021295086,0.6274447,0.5575344562530518,4,1024,60.84743942800003,65536
78.56,-1.4,82.39,-2.27,1249,0.003345634,0.026570639,2.6758626,-0.0018417741,0.4856712,0.6099408268928528,5,1280,73.96343721699998,81920
80.63,-1.35,80.45,-2.13,1260,0.0041891625,0.038085938,2.6611009,-0.0026183024,0.3569801,0.6879066526889801,6,1536,86.96566772100005,98304
78.94,-1.43,79.23,-2.07,1267,0.0058041173,0.06121826,2.657654,-0.0045211916,0.29408717,0.7130798995494843,7,1792,99.88818852200006,114688
77.14,-1.35,74.53,-1.68,1270,0.004905748,0.04783122,2.6411264,-0.0036490902,0.2215607,0.7472597062587738,8,2048,112.780461436,131072
73.29,-1.11,76.6,-2.08,1260,0.0057171932,0.062805176,2.6371996,-0.0034361556,0.17780416,0.7592799216508865,9,2304,125.78057480000007,147456
74.73,-1.2,76.32,-2.05,1254,0.006239245,0.0744222,2.6231334,-0.004095256,0.14516799,0.783763661980629,10,2560,138.84170347200006,163840
71.05,-1.18,79.21,-1.58,1250,0.006725816,0.084493004,2.6217139,-0.00553067,0.122771084,0.7404217720031738,11,2816,151.94843299600007,180224
72.56,-0.99,76.67,-1.62,1254,0.0078049763,0.10182699,2.617008,-0.006697578,0.10555317,0.733209490776062,12,3072,165.011388753,196608
75.94,-0.82,76.17,-1.9,1256,0.008219527,0.10845947,2.6145723,-0.006790565,0.09572577,0.7196102738380432,13,3328,178.04669819600008,212992
71.97,-0.21,77.39,-2.09,1259,0.008624508,0.11796061,2.608253,-0.0073961467,0.08492779,0.6971870362758636,14,3584,191.05405279600006,229376
77.55,-0.25,74.24,-1.54,1264,0.009514865,0.12780762,2.5970619,-0.0066015124,0.0679095,0.7353747189044952,15,3840,204.01630058500007,245760
72.64,-0.43,75.28,-1.62,1260,0.010160591,0.14231364,2.57643,-0.004831621,0.06646798,0.7295576930046082,16,4096,217.015623064,262144
73.55,-0.46,78.32,-1.71,1259,0.010396368,0.14322917,2.5600083,-0.006824261,0.074428834,0.7336868941783905,17,4352,230.02403769,278528
76.43,-0.09,81.28,-1.77,1262,0.012377266,0.1640218,2.5459511,-0.008687908,0.07297616,0.6783270537853241,18,4608,242.99840097600008,294912
72.18,0.13,78.89,-1.25,1253,0.012104363,0.16768391,2.5344696,-0.008593761,0.05221508,0.7700695693492889,19,4864,256.07479892900005,311296
