eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
82.06,-3.27,84.18,-2.2,967,0.00655921,0.049438477,2.7015362,-0.0018096161,0.80693465,-0.19158709049224854,1,256,16.933678352001152,16384
81.5,-2.53,82.66,-2.46,1381,0.00632255,0.04416911,2.6951902,-0.004609779,0.19642602,0.18786537647247314,2,512,28.791761090000364,32768
86.28,-2.34,84.15,-1.91,1381,0.003769571,0.01924642,2.6885376,-0.0035832496,0.13919209,0.43207037448883057,3,768,40.64917984699969,49152
77.07,-1.97,76.73,-1.76,1355,0.003753857,0.02290853,2.6776636,-0.004473273,0.12747622,0.5411972403526306,4,1024,52.735178009001174,65536
74.53,-1.3,77.65,-2.94,1339,0.0023890063,0.012837728,2.66618,-0.0042602285,0.109924845,0.6071193516254425,5,1280,64.96554701700006,81920
77.31,-1.22,79.79,-1.18,1354,0.0036035727,0.02931722,2.6520522,-0.0068032104,0.10298485,0.678153783082962,6,1536,77.0611954190008,98304
73.49,-1.42,81.24,-2.39,1395,0.004059584,0.034444172,2.6484363,-0.008493868,0.09903737,0.7156979739665985,7,1792,88.80042810400118,114688
72.68,-0.72,76.26,-1.48,1392,0.004575999,0.042073566,2.634805,-0.009423388,0.081668556,0.7050573825836182,8,2048,100.56746920099977,131072
75.56,-1.26,78.26,-1.4,1374,0.004507854,0.04591878,2.6311152,-0.0119888345,0.077928156,0.734967976808548,9,2304,112.49037502400097,147456
76.83,-0.46,76.54,-1.47,1377,0.0067209643,0.08241781,2.6197708,-0.0141304955,0.08388398,0.7116926908493042,10,2560,124.38345293699967,163840
76.89,-0.32,80.06,-1.57,1372,0.0068415515,0.08548991,2.62157,-0.016425537,0.071140744,0.7667065858840942,11,2816,136.3210002600008,180224
81.85,-0.8,78.85,-1.82,1364,0.0074703754,0.09731039,2.6080005,-0.015991796,0.06889668,0.7700271457433701,12,3072,148.33050349299992,196608
77.02,-0.5,81.02,-0.83,1392,0.0084390305,0.11118571,2.595214,-0.016974611,0.07201185,0.7728435546159744,13,3328,160.09395956800108,212992
77.37,-0.01,77.32,-1.67,1366,0.008371242,0.11189779,2.5960088,-0.016409244,0.0541542,0.7493258714675903,14,3584,172.08374039299997,229376
75.59,-0.49,81.83,-1.35,1369,0.0090359105,0.11946615,2.5947452,-0.017863104,0.06640335,0.7269405424594879,15,3840,184.04610623500048,245760
75.8,-0.33,78.74,-1.68,1378,0.010153347,0.14215088,2.6005394,-0.019601043,0.07284843,0.6104459762573242,16,4096,195.9300087419997,262144
78.9,-0.21,83.96,-1.63,1371,0.008945194,0.12009684,2.6015933,-0.019479847,0.075862944,0.6497798264026642,17,4352,207.8800253820009,278528
77.0,-0.24,79.42,-2.01,1368,0.011131291,0.1505127,2.5893044,-0.018211313,0.07148825,0.5928675830364227,18,4608,219.84972086200105,294912
83.67,-0.19,82.53,-2.08,1371,0.010310647,0.14668782,2.6017811,-0.017813565,0.08006122,0.5493774712085724,19,4864,231.800031787001,311296
74.81,-0.09,82.79,-1.35,1364,0.010661813,0.14298503,2.5822308,-0.019763103,0.07028389,0.6481121778488159,20,5120,243.805897612001,327680
