eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
81.24,-3.06,85.31,-2.59,807,0.00056749117,0.0,2.7074773,-0.0005146946,0.46277907,0.007671713829040527,1,256,20.286583305000022,16384
80.42,-2.13,88.43,-3.09,1401,0.000680851,6.1035156e-05,2.7047312,-0.0005977868,0.15820341,0.06455761194229126,2,512,31.975614484999994,32768
89.27,-2.17,82.99,-2.29,1395,0.004436784,0.02561442,2.688717,-0.0026804756,0.14404212,0.16715699434280396,3,768,43.71338109100003,49152
79.94,-2.67,80.23,-2.24,1371,0.0028459,0.008626302,2.675573,-0.0017506086,0.15747479,0.250333309173584,4,1024,55.657038188,65536
75.48,-1.79,80.1,-1.13,1363,0.0029928507,0.016438803,2.662963,-0.002361923,0.123669624,0.3961573839187622,5,1280,67.67061557099998,81920
76.01,-1.31,80.42,-2.22,1367,0.0026265671,0.011474609,2.6598911,-0.002538014,0.09062836,0.5726075768470764,6,1536,79.65433305599998,98304
72.66,-2.04,79.17,-1.31,1382,0.003439258,0.026529947,2.6561763,-0.003404962,0.092184484,0.5974195003509521,7,1792,91.50211798600003,114688
76.02,-0.69,80.27,-1.82,1381,0.0043031806,0.03749593,2.6560776,-0.004754797,0.079634406,0.6319146156311035,8,2048,103.36276902499998,131072
79.06,-1.11,79.41,-1.34,1385,0.0043782233,0.038675945,2.6440682,-0.0049126497,0.07542016,0.701049417257309,9,2304,115.18629131600005,147456
75.89,-0.69,83.98,-1.11,1376,0.00435778,0.04111735,2.6217396,-0.006267303,0.07791374,0.7305446267127991,10,2560,127.08640349699999,163840
78.16,-0.66,80.79,-1.72,1379,0.0045018666,0.043436687,2.606948,-0.0060237697,0.06486933,0.7379915416240692,11,2816,138.966638161,180224
73.9,-0.31,76.79,-1.16,1374,0.00438832,0.043111164,2.6049924,-0.0055859773,0.061550844,0.7447426021099091,12,3072,150.885731922,196608
74.61,-0.61,75.99,-0.71,1381,0.005405151,0.056315105,2.592084,-0.006715479,0.05929035,0.7840435355901718,13,3328,162.74438750399997,212992
76.64,-0.31,78.9,-1.2,1384,0.0052615725,0.058410645,2.5903316,-0.0070566437,0.069765486,0.74892258644104,14,3584,174.579253033,229376
77.88,-0.32,85.05,-1.93,1381,0.0058255815,0.06640625,2.5848634,-0.0069119562,0.051527504,0.7663693726062775,15,3840,186.43888712800003,245760
78.04,-0.5,82.07,-1.23,1380,0.006420857,0.07600912,2.5759664,-0.008276661,0.07189862,0.7634464800357819,16,4096,198.30898593799998,262144
75.31,-0.28,86.28,-0.79,1391,0.006714323,0.080851234,2.574034,-0.007863311,0.059359655,0.7618683278560638,17,4352,210.08457012999997,278528
76.29,0.0,81.91,-1.05,1381,0.0077055297,0.09712728,2.5786707,-0.009696391,0.05430339,0.6876232922077179,18,4608,221.947115876,294912
76.52,0.01,84.14,-0.79,1385,0.0069072954,0.08382162,2.571756,-0.007887348,0.052423704,0.7936655730009079,19,4864,233.77085374900003,311296
76.21,0.08,86.27,-1.12,1384,0.00800635,0.10508219,2.5662136,-0.009066373,0.059361372,0.7459458410739899,20,5120,245.60505124500003,327680
79.41,0.22,85.54,-1.1,1377,0.008035652,0.10467529,2.5746548,-0.009068166,0.0525375,0.7731753587722778,21,5376,257.49892397400004,344064
78.74,0.01,83.46,-1.01,1375,0.008488358,0.11311849,2.5737717,-0.008311412,0.05975403,0.7875179946422577,22,5632,269.40847596799995,360448
