eval_eplenmean,eval_eprewmean,misc/total_timesteps
129.95,3.85,16384
297.7469879518072,12.108434,32768
315.88,12.07,49152
295.1,12.38,65536
331.18,15.5,81920
331.33,14.72,98304
320.25,13.3,114688
329.69,14.38,131072
331.96,15.71,147456
327.74,14.94,163840
336.23,15.03,180224
325.48,14.51,196608
318.09,14.23,212992
334.42,14.96,229376
331.21,15.46,245760
328.88,14.95,262144
318.07,14.4,278528
326.14,16.14,294912
345.5,17.77,311296
327.86,16.01,327680
337.37,15.69,344064
349.41,15.69,360448
338.67,15.84,376832
323.65,14.62,393216
321.8,13.76,409600
328.64,15.34,425984
328.12,16.29,442368
339.45,16.17,458752
329.71,15.22,475136
319.91,15.58,491520
323.08,15.51,507904
324.09,14.98,524288
327.1,14.99,540672
328.13,15.02,557056
324.06,14.86,573440
327.26,14.15,589824
311.25,12.29,606208
311.22,12.92,622592
321.92,14.13,638976
325.63,14.03,655360
306.36,13.13,671744
293.77,13.18,688128
307.98,13.64,704512
335.85,14.08,720896
346.16,15.87,737280
340.78,15.67,753664
328.03,13.89,770048
332.92,14.79,786432
343.54,16.23,802816
327.65,16.16,819200
308.15,14.91,835584
335.66,15.66,851968
341.43,15.41,868352
324.87,16.29,884736
313.29,15.59,901120
309.75,13.86,917504
314.63,14.16,933888
316.55,13.86,950272
326.17,14.63,966656
333.93,15.39,983040
336.05,15.58,999424
339.11,15.6,1015808
330.62,14.98,1032192
329.9,14.24,1048576
339.11,15.36,1064960
321.39,15.06,1081344
322.34,15.02,1097728
328.31,14.89,1114112
330.61,14.97,1130496
331.11,14.93,1146880
317.55,13.3,1163264
316.06,13.54,1179648
323.44,14.81,1196032
336.99,15.83,1212416
343.85,16.34,1228800
340.7,16.18,1245184
322.15,14.52,1261568
303.82,13.69,1277952
330.97,14.9,1294336
332.19,14.17,1310720
327.09,14.15,1327104
336.94,15.45,1343488
336.15,14.7,1359872
314.49,12.51,1376256
324.06,12.49,1392640
321.32,12.97,1409024
318.04,15.14,1425408
