eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
80.89,-3.04,86.19,-2.52,989,0.00039717532,0.0,2.7077081,-0.0006018041,0.4658842,-0.1450059413909912,1,256,16.562281572998472,16384
83.49,-2.12,84.15,-2.06,1426,0.0011899701,0.0069376626,2.7040155,-0.00074670516,0.13718757,0.019546449184417725,2,512,28.05022468199968,32768
84.48,-2.15,84.76,-2.84,1415,0.0021443062,0.007873535,2.6944485,-0.0011705806,0.13967262,0.05780512094497681,3,768,39.62781693699981,49152
81.5,-2.38,85.02,-2.3,1395,0.005235571,0.028686523,2.6658633,-0.0023971137,0.13607135,0.1277889609336853,4,1024,51.367161843998474,65536
74.34,-1.71,82.11,-2.36,1379,0.003817563,0.027364096,2.6492448,-0.0026023376,0.12408783,0.24048632383346558,5,1280,63.243077388999154,81920
74.72,-1.1,78.63,-1.93,1378,0.0035860643,0.029785156,2.6423538,-0.00243009,0.09715856,0.34345126152038574,6,1536,75.12865537799917,98304
71.56,-1.28,77.29,-1.87,1384,0.003476463,0.022928873,2.6422937,-0.0028279547,0.08415421,0.49372541904449463,7,1792,86.9663481539992,114688
75.75,-1.37,77.39,-1.41,1391,0.0039147185,0.031188965,2.6401875,-0.0045156563,0.09531679,0.5539904832839966,8,2048,98.74450241699924,131072
72.09,-1.27,75.32,-1.26,1399,0.0039957557,0.032674152,2.6220822,-0.004424645,0.07295067,0.6471420228481293,9,2304,110.44853568299914,147456
75.96,-0.98,79.86,-1.29,1399,0.0034093026,0.027140299,2.6229799,-0.005555241,0.07191241,0.7191711366176605,10,2560,122.15240417199857,163840
74.83,-0.99,77.89,-1.63,1392,0.0047531915,0.05259196,2.6170003,-0.006031586,0.07561393,0.7308409512042999,11,2816,133.91809823899894,180224
71.52,-1.11,76.19,-1.47,1389,0.005697613,0.061726887,2.6072574,-0.0065987264,0.07626932,0.7191176414489746,12,3072,145.71219967099933,196608
73.84,-0.4,83.25,-1.32,1383,0.0056406003,0.064982094,2.5901737,-0.005906997,0.06891752,0.6987670958042145,13,3328,157.552567232,212992
76.47,-0.13,81.27,-1.49,1374,0.0060144663,0.07080078,2.588174,-0.006549302,0.065371074,0.7679792195558548,14,3584,169.47721523899963,229376
75.11,-0.75,79.72,-1.1,1391,0.006414451,0.07684326,2.57577,-0.0063738967,0.06326641,0.75594861805439,15,3840,181.24883951099946,245760
74.89,-0.22,77.49,-0.99,1393,0.006475732,0.07712809,2.561804,-0.007480316,0.055536646,0.8347183018922806,16,4096,193.00808977499946,262144
76.7,-0.33,78.11,-1.07,1393,0.0066661616,0.08154297,2.5628624,-0.006043579,0.058686536,0.7601661682128906,17,4352,204.77025460599907,278528
75.22,-0.1,81.72,-0.96,1393,0.0070786593,0.08945719,2.5648792,-0.009070897,0.0649841,0.7665876299142838,18,4608,216.52888881599938,294912
74.64,-0.13,82.79,-1.32,1390,0.00766526,0.096333824,2.5682797,-0.008294852,0.05247763,0.7622573971748352,19,4864,228.31359371099825,311296
74.82,-0.29,78.64,-1.03,1390,0.00882559,0.11301676,2.5680203,-0.006497647,0.060106676,0.726047694683075,20,5120,240.0965768729984,327680
74.07,-0.07,76.51,-0.85,1382,0.006418314,0.078959145,2.5797687,-0.009691137,0.06135345,0.7062293887138367,21,5376,251.94706031699934,344064
79.3,0.57,81.47,-0.9,1390,0.0069736913,0.08607992,2.573518,-0.007950406,0.061520938,0.7212837934494019,22,5632,263.73396342999877,360448
80.2,0.07,84.9,-1.02,1391,0.008341703,0.10772705,2.5851357,-0.007847719,0.05738691,0.7755667269229889,23,5888,275.50902706299894,376832
82.92,0.51,86.44,-0.95,1387,0.008559895,0.109965004,2.566317,-0.008037812,0.05537258,0.7371082305908203,24,6144,287.3197038159997,393216
79.38,0.07,81.34,-1.17,1391,0.009349859,0.12290446,2.55882,-0.008368713,0.056239706,0.768209844827652,25,6400,299.0922822849989,409600
75.94,-0.16,77.56,-0.66,1391,0.009761636,0.12679036,2.5630143,-0.007497649,0.05419914,0.7844637781381607,26,6656,310.86656529899847,425984
79.38,0.39,82.6,-1.21,1392,0.008728591,0.11454264,2.5600073,-0.0099486485,0.07065988,0.6264709532260895,27,6912,322.6364758949985,442368
79.17,0.7,85.58,-1.25,1392,0.009440975,0.12009684,2.5532181,-0.009008358,0.0570427,0.6387146711349487,28,7168,334.4002454269994,458752
80.66,1.01,83.78,-1.2,1391,0.0110374205,0.14591472,2.5502143,-0.0078784665,0.05312456,0.7195912301540375,29,7424,346.1775787279985,475136
75.9,0.83,87.57,-0.66,1391,0.011436046,0.15368652,2.5331733,-0.0102418875,0.055593085,0.726209819316864,30,7680,357.949665058999,491520
83.33,0.9,82.51,-0.56,1388,0.012310546,0.15720622,2.5419433,-0.0076492745,0.048832808,0.7368378043174744,31,7936,369.7518824159997,507904
