eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.41,-2.5,89.79,-2.5,1005,0.002353761,0.0021362305,2.7057457,-0.0015782518,0.5625565,0.03524446487426758,1,256,16.291133070000797,16384
82.82,-2.42,82.13,-2.02,1485,0.00227159,0.00579834,2.6935246,-0.0012894796,0.1904459,0.1003381609916687,2,512,27.321401131997845,32768
83.27,-2.12,82.74,-1.52,1470,0.002196243,0.008199056,2.6848786,-0.0014004325,0.1642382,0.23672842979431152,3,768,38.46337786299773,49152
80.47,-2.52,86.45,-2.13,1444,0.002103457,0.006754557,2.6712353,-0.0014693959,0.1631987,0.2917088270187378,4,1024,49.80257542099935,65536
80.52,-2.47,82.72,-2.33,1448,0.0028536406,0.013326009,2.6541367,-0.0018348399,0.15036783,0.36206477880477905,5,1280,61.118094423,81920
87.18,-1.72,84.88,-2.3,1429,0.0017776851,0.006327311,2.6534727,-0.0011983082,0.120917805,0.4587574601173401,6,1536,72.57710885800043,98304
79.6,-1.91,86.62,-1.88,1422,0.0045438916,0.02758789,2.6478167,-0.003382722,0.12118787,0.5049441754817963,7,1792,84.0928331239993,114688
85.59,-1.89,87.15,-2.55,1401,0.0019285631,0.0018107096,2.6542025,-0.0013061116,0.1449616,0.49251192808151245,8,2048,95.78202984699965,131072
79.72,-1.54,88.33,-2.37,1399,0.00167634,0.0027872722,2.6495926,-0.0017445906,0.124949716,0.4825419783592224,9,2304,107.49264634700012,147456
89.62,-1.42,88.12,-2.36,1383,0.0029951378,0.017191568,2.6447723,-0.003939193,0.11100634,0.5598144829273224,10,2560,119.33183547599765,163840
81.93,-1.79,82.88,-1.69,1396,0.0021191386,0.010884603,2.647981,-0.0034533814,0.105694085,0.5753582119941711,11,2816,131.0637471379996,180224
83.23,-2.08,82.53,-1.93,1406,0.003550852,0.026896158,2.6332452,-0.004752115,0.0859605,0.6286705434322357,12,3072,142.71677894700042,196608
83.6,-1.59,82.59,-1.32,1419,0.003966472,0.03108724,2.6433158,-0.006182585,0.100191385,0.5358388721942902,13,3328,154.26323948799836,212992
81.02,-2.18,78.33,-1.24,1404,0.003488101,0.028015137,2.6377888,-0.006794557,0.10298866,0.5822512209415436,14,3584,165.93117157899906,229376
74.33,-1.42,75.8,-1.22,1404,0.0048519126,0.04756673,2.620939,-0.008187876,0.07596648,0.6642711162567139,15,3840,177.59591942599945,245760
78.51,-1.32,82.43,-1.63,1402,0.0030021204,0.021769205,2.6345158,-0.0062981825,0.08965498,0.5914541780948639,16,4096,189.27988115599874,262144
79.11,-0.76,79.29,-1.3,1403,0.0054267664,0.060587566,2.6115572,-0.009626281,0.071609125,0.5713240802288055,17,4352,200.95681177999722,278528
77.04,-0.81,76.1,-0.99,1404,0.0050852834,0.05122884,2.607403,-0.010627319,0.06393386,0.5650995075702667,18,4608,212.6224183239974,294912
73.56,-0.24,79.9,-0.84,1395,0.0055541825,0.05987549,2.582998,-0.010932525,0.06833151,0.5428998172283173,19,4864,224.36323158300002,311296
75.66,-0.6,77.74,-1.27,1406,0.0062153973,0.07354736,2.5770965,-0.011902816,0.058780313,0.5978112518787384,20,5120,236.00946960799774,327680
